id,lastpage,startdate,datestamp,randnumber,case1a1,case1a2,case1a3,case1a4,case1a5,case1a6,case1a7,case1a8,case1a9,case1b1,case1b2,case1b3,case1b4,case1b5,case1b6,case1b7,case1b8,case1b9,case1c1,case1c2,case1c3,case1c4,case1c5,case1c6,case1c7,case1c8,case1c9,case1d1,case1d2,case1d3,case1d4,case1d5,case1d6,case1d7,case1d8,case1d9,case2a1,case2a2,case2a3,case2a4,case2a5,case2a6,case2a7,case2a8,case2a9,case2a10,case2a11,case2a12,case2a13,case2a14,case2a15,case2b1,case2b2,case2b3,case2b4,case2b5,case2b6,case2b7,case2b8,case2b9,case2b10,case2b11,case2b12,case2b13,case2b14,case2b15,kontrolle1,kontrolle2b,wuerde,mitbewohner,wohnraum,alter,geschlecht,einkommen,bildung,bundesland,politik,abschluss
84,89,2026-03-18 17:58:51,2026-03-18 18:01:28,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,7.0,1.0,50.0,,70.0,38.0,3.0,3000.0,7.0,2.0,2.0,
85,44,2026-03-18 18:02:44,2026-03-18 18:03:13,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,2,2026-03-18 18:03:35,2026-03-18 18:03:35,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,79,2026-03-18 18:14:28,2026-03-18 18:19:44,3,,,,,,,,,,,,,,,,,,,-50.0,-90.0,-40.0,-1.0,0.0,100.0,0.0,100.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.0,,,,,,,,,,
88,89,2026-03-18 18:16:04,2026-03-18 18:20:12,2,,,,,,,,,,-9.0,-5.0,0.0,0.0,1.0,2.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,50.0,2.0,120.0,61.0,1.0,3800.0,3.0,7.0,6.0,
89,89,2026-03-18 18:16:09,2026-03-18 18:20:10,2,,,,,,,,,,-10.0,-9.0,-4.0,-1.0,0.0,-1.0,-2.0,-7.0,-6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,50.0,2.0,90.0,53.0,3.0,3600.0,4.0,7.0,5.0,
90,44,2026-03-18 18:21:13,2026-03-18 18:21:36,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,79,2026-03-18 18:23:18,2026-03-18 18:46:31,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,7.0,0.0,,,,,,,,,,
92,34,2026-03-18 18:26:33,2026-03-18 18:28:37,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,61,2026-03-18 18:29:21,2026-03-18 18:29:43,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,12,2026-03-18 18:31:59,2026-03-18 18:33:20,1,-80.0,-60.0,,-20.0,0.0,20.0,40.0,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,89,2026-03-18 18:32:40,2026-03-18 18:36:01,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.0,-10.0,-4.0,-2.0,0.0,2.0,4.0,6.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,50.0,2.0,105.0,59.0,3.0,5800.0,8.0,5.0,4.0,
96,2,2026-03-18 18:34:32,2026-03-18 18:34:32,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,44,2026-03-18 18:35:51,2026-03-18 18:36:34,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,89,2026-03-18 18:39:08,2026-03-18 18:47:48,3,,,,,,,,,,,,,,,,,,,-1.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,40.0,2.0,100.0,60.0,1.0,2800.0,5.0,4.0,3.0,
99,79,2026-03-18 18:41:13,2026-03-18 18:46:35,2,,,,,,,,,,-200.0,-70.0,-70.0,-30.0,0.0,-20.0,-60.0,-50.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.0,,,,,,,,,,
100,89,2026-03-18 18:41:54,2026-03-18 18:47:13,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,7.0,1.0,50.0,2.0,200.0,57.0,1.0,300.0,5.0,11.0,4.0,
101,89,2026-03-18 18:47:52,2026-03-18 18:54:22,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,7.0,1.0,60.0,2.0,130.0,58.0,3.0,3900.0,4.0,11.0,3.0,
102,89,2026-03-18 19:13:27,2026-03-18 19:26:28,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,1.0,0.0,,,,,,,,,,,,,,,,7.0,1.0,60.0,1.0,66.0,71.0,1.0,3100.0,3.0,1.0,4.0,
103,89,2026-03-18 19:13:28,2026-03-18 19:20:03,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,1.0,0.0,,,,,,,,,,,,,,,,7.0,1.0,50.0,2.0,125.0,47.0,1.0,1700.0,3.0,2.0,2.0,
104,89,2026-03-18 19:17:39,2026-03-18 19:24:44,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,7.0,1.0,40.0,2.0,120.0,53.0,3.0,2500.0,6.0,16.0,2.0,
105,89,2026-03-18 19:22:09,2026-03-18 19:26:31,2,,,,,,,,,,-5.0,-5.0,-5.0,-2.0,0.0,2.0,5.0,5.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,50.0,1.0,56.0,54.0,1.0,1200.0,5.0,15.0,3.0,
106,89,2026-03-18 19:22:26,2026-03-18 19:29:47,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,7.0,5.0,2.0,0.0,0.0,3.0,10.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,60.0,1.0,100.0,52.0,3.0,1950.0,5.0,2.0,4.0,
107,89,2026-03-18 19:27:29,2026-03-18 19:35:08,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.0,4.0,-5.0,-1.0,0.0,6.0,8.0,8.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,40.0,3.0,250.0,43.0,1.0,0.0,8.0,2.0,5.0,
108,89,2026-03-18 19:35:12,2026-03-18 19:38:42,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,-100.0,-20.0,-10.0,0.0,-5.0,-20.0,-10.0,-100.0,-30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,50.0,4.0,252.0,44.0,3.0,12000.0,11.0,10.0,4.0,
109,89,2026-03-18 19:38:14,2026-03-18 19:41:15,1,-10.0,-6.0,-5.0,-3.0,0.0,3.0,4.0,5.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,60.0,1.0,210.0,47.0,3.0,4000.0,7.0,1.0,6.0,
110,34,2026-03-18 19:49:36,2026-03-18 19:50:59,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,60,2026-03-18 20:03:35,2026-03-18 20:05:14,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,2,2026-03-18 20:09:48,2026-03-18 20:09:48,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,89,2026-03-18 20:12:37,2026-03-18 20:20:41,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,25.0,5.0,138.0,39.0,1.0,2600.0,5.0,9.0,6.0,
114,25,2026-03-18 20:23:51,2026-03-18 20:35:17,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,79,2026-03-18 20:40:36,2026-03-18 20:53:54,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,7.0,0.0,,,,,,,,,,
116,44,2026-03-18 20:51:54,2026-03-18 20:52:30,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,89,2026-03-18 20:54:37,2026-03-18 21:05:41,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,,,,,,,,,,,,,,,,7.0,1.0,50.0,1.0,33.0,59.0,1.0,1900.0,5.0,10.0,4.0,
118,89,2026-03-18 21:05:16,2026-03-18 21:08:54,2,,,,,,,,,,-100.0,-4.0,-3.0,-1.0,0.0,1.0,4.0,-5.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,35.0,1.0,22.0,22.0,2.0,0.0,4.0,9.0,1.0,
119,60,2026-03-18 21:06:22,2026-03-18 21:06:38,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,79,2026-03-18 21:15:23,2026-03-18 21:19:46,2,,,,,,,,,,-20.0,-16.0,-10.0,-3.0,0.0,8.0,16.0,18.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.0,,,,,,,,,,
121,89,2026-03-18 21:41:26,2026-03-18 21:46:53,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.0,-2.0,-2.0,-2.0,-1.0,-5.0,-6.0,-10.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,100.0,2.0,30.0,26.0,1.0,3000.0,7.0,2.0,4.0,
122,24,2026-03-18 22:07:56,2026-03-18 22:12:02,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,89,2026-03-18 22:09:35,2026-03-18 22:46:42,3,,,,,,,,,,,,,,,,,,,70.0,90.0,0.0,30.0,100.0,50.0,50.0,80.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,60.0,4.0,124.0,47.0,3.0,1750.0,5.0,13.0,4.0,
124,89,2026-03-18 22:22:25,2026-03-18 22:30:56,1,100.0,10.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,60.0,3.0,120.0,51.0,1.0,1800.0,2.0,7.0,6.0,
125,89,2026-03-18 22:58:04,2026-03-18 23:06:46,2,,,,,,,,,,0.0,30.0,40.0,80.0,100.0,100.0,100.0,60.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,30.0,1.0,30.0,43.0,3.0,,3.0,10.0,5.0,
126,2,2026-03-19 04:33:49,2026-03-19 04:33:49,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,89,2026-03-19 04:34:57,2026-03-19 04:39:07,2,,,,,,,,,,-250.0,-80.0,-160.0,-20.0,0.0,10.0,60.0,100.0,2500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,30.0,1.0,60.0,36.0,3.0,2260.0,3.0,6.0,4.0,
128,89,2026-03-19 05:05:25,2026-03-19 05:12:26,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,7.0,1.0,35.0,1.0,47.0,24.0,1.0,1700.0,3.0,1.0,4.0,
129,89,2026-03-19 06:54:14,2026-03-19 06:59:09,1,-1000.0,-100.0,-80.0,-20.0,0.0,60.0,300.0,100.0,400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,30.0,2.0,60.0,26.0,3.0,2700.0,5.0,1.0,4.0,
130,34,2026-03-19 07:08:46,2026-03-19 07:10:00,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,79,2026-03-19 07:39:15,2026-03-19 07:50:14,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,,,,,,,,,,
132,35,2026-03-19 08:21:54,2026-03-19 08:27:17,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,89,2026-03-19 08:37:09,2026-03-19 08:41:07,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,1.0,0.0,7.0,1.0,30.0,4.0,140.0,45.0,3.0,2300.0,5.0,12.0,3.0,
134,79,2026-03-19 08:52:54,2026-03-19 08:55:44,3,,,,,,,,,,,,,,,,,,,-10.0,-6.0,0.0,0.0,0.0,0.0,-2.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.0,,,,,,,,,,
135,89,2026-03-19 09:03:07,2026-03-19 09:07:34,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,7.0,1.0,50.0,1.0,100.0,49.0,3.0,0.0,8.0,10.0,4.0,
136,89,2026-03-19 09:04:19,2026-03-19 09:09:18,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,10.0,0.0,1.0,0.0,2.0,10.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,50.0,3.0,120.0,42.0,1.0,0.0,3.0,9.0,6.0,
137,89,2026-03-19 09:06:09,2026-03-19 09:12:19,3,,,,,,,,,,,,,,,,,,,-1.0,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,35.0,3.0,184.0,58.0,3.0,5000.0,8.0,9.0,4.0,
138,2,2026-03-19 10:11:30,2026-03-19 10:11:30,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,89,2026-03-19 10:16:46,2026-03-19 10:19:04,2,,,,,,,,,,10.0,20.0,60.0,60.0,100.0,50.0,50.0,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,50.0,1.0,84.0,50.0,3.0,4000.0,5.0,11.0,5.0,
140,77,2026-03-19 10:23:39,2026-03-19 10:36:39,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,70.0,60.0,50.0,50.0,40.0,50.0,60.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,
141,79,2026-03-19 10:25:29,2026-03-19 10:29:02,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.0,-10.0,-8.0,-5.0,0.0,-10.0,-10.0,-10.0,-10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.0,,,,,,,,,,
142,4,2026-03-19 10:25:31,2026-03-19 10:25:46,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,79,2026-03-19 10:36:28,2026-03-19 10:41:26,1,100.0,10.0,15.0,50.0,0.0,2.0,120.0,120.0,140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.0,,,,,,,,,,
144,79,2026-03-19 10:38:35,2026-03-19 10:43:46,2,,,,,,,,,,-10.0,-10.0,-8.0,-2.0,0.0,-2.0,-3.0,-4.0,-3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.0,,,,,,,,,,
145,4,2026-03-19 11:33:02,2026-03-19 11:33:29,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,60,2026-03-19 11:54:23,2026-03-19 11:54:54,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,77,2026-03-19 12:09:18,2026-03-19 12:12:25,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,,,,,,,,,,,
148,89,2026-03-19 12:09:42,2026-03-19 12:14:46,3,,,,,,,,,,,,,,,,,,,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,50.0,3.0,142.0,30.0,1.0,0.0,7.0,2.0,3.0,
149,89,2026-03-19 12:30:56,2026-03-19 12:35:05,3,,,,,,,,,,,,,,,,,,,10.0,5.0,-6.0,0.0,0.0,0.0,0.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,60.0,1.0,60.0,70.0,1.0,1400.0,5.0,10.0,3.0,
150,89,2026-03-19 12:41:10,2026-03-19 12:46:58,3,,,,,,,,,,,,,,,,,,,-100.0,-10.0,-10.0,-3.0,0.0,6.0,6.0,3.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,60.0,2.0,70.0,35.0,1.0,2200.0,2.0,2.0,5.0,
151,4,2026-03-19 12:58:49,2026-03-19 12:59:10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,89,2026-03-19 14:07:13,2026-03-19 14:15:02,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,7.0,1.0,35.0,2.0,110.0,23.0,1.0,1150.0,4.0,9.0,3.0,
153,8,2026-03-19 14:21:25,2026-03-19 14:22:20,1,,,40.0,20.0,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,89,2026-03-19 14:25:54,2026-03-19 14:31:05,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,,,,,,,,,,,,,,,,7.0,1.0,50.0,3.0,117.0,36.0,1.0,3500.0,8.0,13.0,3.0,
155,89,2026-03-19 15:15:05,2026-03-19 15:20:21,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.0,-6.0,-6.0,-4.0,-2.0,-1.0,0.0,-10.0,-4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,40.0,2.0,130.0,69.0,1.0,2000.0,5.0,7.0,4.0,
156,35,2026-03-19 16:02:15,2026-03-19 16:02:56,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,2,2026-03-19 16:25:21,2026-03-19 16:25:21,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,79,2026-03-19 17:33:51,2026-03-19 17:36:22,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,7.0,0.0,,,,,,,,,,
159,89,2026-03-19 17:43:28,2026-03-19 17:46:18,3,,,,,,,,,,,,,,,,,,,10.0,10.0,5.0,0.0,0.0,0.0,0.0,15.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,70.0,3.0,90.0,32.0,1.0,700.0,3.0,13.0,7.0,
160,79,2026-03-19 18:48:19,2026-03-19 18:52:10,2,,,,,,,,,,-10.0,-5.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.0,,,,,,,,,,
161,89,2026-03-19 19:50:15,2026-03-19 19:56:01,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.0,-5.0,-3.0,-1.0,-1.0,-1.0,-1.0,-10.0,-4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,50.0,1.0,80.0,58.0,3.0,2100.0,5.0,11.0,3.0,
162,79,2026-03-19 20:25:01,2026-03-19 20:34:52,2,,,,,,,,,,-8.0,-6.0,-4.0,-2.0,0.0,2.0,4.0,6.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.0,,,,,,,,,,
163,89,2026-03-19 20:27:45,2026-03-19 20:34:08,2,,,,,,,,,,90.0,100.0,10.0,5.0,0.0,2.0,10.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,40.0,2.0,68.0,57.0,1.0,1800.0,2.0,15.0,3.0,
164,35,2026-03-19 20:58:47,2026-03-19 20:59:15,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,89,2026-03-19 21:29:47,2026-03-19 21:38:58,3,,,,,,,,,,,,,,,,,,,100.0,100.0,100.0,80.0,0.0,10.0,10.0,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,40.0,3.0,120.0,73.0,1.0,1700.0,5.0,7.0,4.0,
166,44,2026-03-19 21:40:04,2026-03-19 21:40:37,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,35,2026-03-19 23:12:53,2026-03-19 23:13:38,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,79,2026-03-20 07:54:17,2026-03-20 07:59:17,2,,,,,,,,,,2.0,5.0,10.0,5.0,0.0,0.0,5.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.0,,,,,,,,,,
169,79,2026-03-20 08:36:29,2026-03-20 08:48:08,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,7.0,0.0,,,,,,,,,,
170,2,2026-03-20 09:40:28,2026-03-20 09:40:28,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,89,2026-03-20 09:59:13,2026-03-20 10:05:02,1,-80.0,-60.0,-40.0,-20.0,0.0,20.0,40.0,60.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,60.0,1.0,72.0,45.0,1.0,1163.0,5.0,2.0,4.0,
172,79,2026-03-20 10:00:33,2026-03-20 10:04:14,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-10.0,0.0,2.0,0.0,-10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.0,,,,,,,,,,
173,79,2026-03-20 10:00:56,2026-03-20 10:05:57,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,2.0,7.0,0.0,,,,,,,,,,
